Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 234 L3 RSP-ACA down	210/610	3.961879e-84	2.321661e-81	0	0	7.181094e+00	1.379060e+03	RPL4;EIF4A2;VPS29;RPL32;RRP1;PITPNA;RTCB;ARPC5L;ATP5C1;GHITM;ENO2;RPL8;RPL6;ACTB;RPS15;RPS14;PSMD7;RPS19;PPP2R1A;FTH1;HABP4;RPL37;ATP6V1E1;GABARAPL2;GABARAPL1;MRPS18A;PRKAR1A;CLPP;SARNP;CDIP1;VDAC1;RPL26;PFN1;EIF1B;BEX2;ATP5J;ATP5H;RTF1;GABARAP;MYL12B;SNX3;ATP5B;PRDX5;ATP5E;ATP5D;SWI5;AI413582;ATP6V1C1;VTI1B;FIS1;RPL41;PMM1;RNF220;COX7B;RAB7;GDI1;RPLP1;ARPC1A;GDI2;CLTA;ZCCHC18;SERP2;HINT1;UCHL1;GUK1;SLC22A17;TMSB4X;SH3BGRL3;HRAS;TPI1;AKR1A1;DYNLL1;RHOA;AES;MLF2;2010107E04RIK;PSMA1;ALDOA;CDC123;ATP5A1;NEDD8;UQCR11;COX5B;COX5A;PPP2CA;MINOS1;PSMB1;RPS3;SPOP;GM1673;PAIP2;RPS27A;ATP6V0E2;RPL17;MDH1;COX6C;TUBB4A;PPP1CA;VMP1;SERBP1;CAPZA2;HNRNPA2B1;HDGF;LAMTOR4;YPEL3;RAB3A;TUSC2;PEBP1;COX6A1;TXN2;TUBB5;FAM174A;CFL1;AP2M1;RAB2A;RALBP1;RPS5;STX7;UBE2E1;RPSA;ZCRB1;RUNDC3A;TMEM130;TUBA4A;ATP5J2;COX6B1;EEF1A1;MAP7D2;FKBP8;CMPK1;MATR3;FAM92A;PPIA;ARL8A;NDRG3;NDUFB10;ARL3;COX7A2;KLC1;UQCRH;ORC5;ZMAT2;ATP6V1F;PACSIN1;HSPA8;CHCHD10;TBCA;HIGD2A;MOB4;CNIH1;ARPC2;RHEB;UQCRQ;DYNLRB1;RNF187;UBE2M;YWHAE;SLC25A3;RNF14;YWHAB;BRK1;PSIP1;ATP5G3;YBX1;RPS4X;SUMO1;IDH3B;SKP1A;SULT4A1;BCAS2;SMIM12;IDH3A;EIF5A;AKTIP;ATP5F1;SMDT1;NDUFS6;TRAPPC6B;ATP6V1B2;PFDN1;RP9;PFDN2;SLC25A4;PFDN5;OTUB1;BECN1;NDUFB9;GTF2A2;NDUFB7;NDUFB5;TM2D1;NDUFB3;MFF;RCHY1;NCALD;CDC42;OGFRL1;GNG3;MAPK1;TIMM8B;NDUFA6;NDUFA4;CNBP;NDUFA2;RPL35A;PDAP1;SOD1;EIF3H;STUB1;TPT1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 30 Sncg up	207/731	8.195575e-66	2.401303e-63	0	0	5.354199e+00	8.024179e+02	CCNH;ATP5C1;EPRS;NFU1;KRTCAP2;RNF115;PSMD4;TFG;DPF2;GOLGA7;ATG3;FEZ1;SARNP;BOLA3;CSNK2B;TMEM126A;VDAC3;IDNK;RBCK1;AURKAIP1;ZFP622;SAR1B;PRKRIP1;COPS7A;BRCC3;ANAPC10;PRDX2;2410015M20RIK;PPP4C;COMMD9;GRPEL1;GAR1;STX4A;SURF1;PMM1;RDX;RMDN3;TMEM192;ACADSB;AIMP1;1700037H04RIK;GNPTG;EIF6;NDUFAF3;FARSB;MRPS15;UBXN1;FAM45A;ZFAND2B;MRPS10;MRPL33;HERPUD1;BABAM1;MRPL42;C1QBP;SEC61B;TMED4;CCT3;CCT2;NUDC;MRPS25;CACYBP;UCHL3;MRPL46;MRPL52;PSMA2;MED21;TCP1;STRAP;GARS;ERGIC3;EEF1E1;CDC123;RPL12;SNX32;CCDC107;TIMM10;PSMB6;CST3;PSMB4;FAM213B;PDZD11;ASNA1;EMC4;CCT8;RABAC1;CCT7;METTL9;CCT4;RANBP1;PEX19;MDH2;SPRYD7;VEGFB;TTC1;FAM213A;TMCO1;PDCL3;RSL1D1;RIT1;PSMC6;FABP5;PSMC3;JKAMP;PSMC1;LAMTOR4;LAMTOR3;CARS;NDUFA11;PARK7;EEF1B2;HCFC1R1;ACOT13;SDHC;RNF41;TMX3;FAM173A;TMX1;RPL7L1;MRTO4;SNRPE;GEMIN7;FKBP3;FAIM;INO80E;PSMD12;PSMD11;RPS19BP1;NDUFB11;ARL2;STIP1;ESD;PMVK;ATP6V1H;AP4S1;SUDS3;NDUFV2;NDUFV1;MPDU1;TRAPPC2;HSPA9;YARS;TRAPPC3;TRAPPC1;TRAPPC4;UQCC1;2310061I04RIK;ASNS;CWC15;DNAJC15;COPRS;COPS4;GGCT;NSFL1C;COPS6;CNIH1;G6PC3;NABP2;RNF181;COPS8;COPE;MCFD2;CUEDC2;WDR1;ATRAID;TMEM222;TIMM17A;MFSD1;UQCRFS1;BCAS2;RBM17;CERS5;GLRX3;DHPS;AHSA1;NDUFC2;DUSP26;RABGGTB;REXO2;HAX1;POLR1C;NDUFS2;DNAJC8;SLC25A5;PFDN6;CHMP5;TMEM55B;GTF2A2;NDUFB8;STOML2;NDUFB6;POLDIP2;DDX25;DCTN3;SLC3A2;HSD17B12;PDHB;TM2D3;RCHY1;HSPD1;TMEM208;NDUFA3;BNIP3;NAGK;EIF3K;EIF3E;EIF3D
Allen_Brain_Atlas_10x_scRNA_2021	Human Inh L5-6 SST C4orf26 up	165/519	4.749422e-60	9.277205e-58	0	0	6.181136e+00	8.443252e+02	RPL4;RAB3A;CD81;ARHGDIG;PHAX;STMN4;ENO1;PARK7;SRP14;RPL6;CNDP2;TXN2;PSMD8;PPP2R1A;PSMD2;HMCES;HCFC1R1;ARL6IP5;VPS35;BANF1;PRKACA;RPL39;GABARAPL2;GABARAPL1;RPS9;RPS5;PTOV1;SSU72;MIF;HPCAL4;ILF2;TMEM130;TUFM;CFDP1;PPA1;FEZ1;CSNK2B;SBDS;CDIP1;VDAC2;VDAC1;MMADHC;PPID;CUTA;BEX1;NDUFB11;RPN1;ATP5J;COPS7A;ATP5H;ADIPOR1;LIN7B;GABARAP;MYL12B;PRDX2;ATP5B;LDHA;CYB5R3;ZNHIT3;PRDX1;ESD;BRIX1;ATP6V1D;VTI1B;AP1M1;ATP6V1F;BTF3;HSPA9;KLHDC2;TRAPPC3;HSPA8;PRELID1;RPL41;TRAPPC1;HSPA5;RHBDD2;TRAPPC4;SRD5A3;TBCB;CCT6A;CNIH1;TMEM237;SELK;CSPG5;MAGED2;DEGS1;CNIH2;RSL24D1;TMEM9B;COPE;RNF187;MCFD2;CUEDC2;GDI1;PTPRN;RPLP0;CLTA;PRPF19;ACTR1A;PPP2R4;ABHD16A;CTSF;CTSD;CCT2;NUDC;ATP6V0B;TPI1;GPX1;ACTR6;PRMT1;DHPS;ATP6AP2;PPP2R5B;EDF1;CACYBP;SYN1;RNF167;MRPS9;PSMA4;HAX1;NDUFS7;TCP1;ALDOC;MAPRE3;TKT;SLC25A5;SLC25A4;ARF5;CHMP5;GSTP1;SF3B6;DCTN3;CRMP1;TM2D3;RCHY1;GNAI2;PPP2CA;GNG3;OS9;TCEAL3;TCEB2;CCT8;CCT7;DTD1;CCT5;RANBP1;NPM1;SPRYD3;PNPLA8;YIPF3;B3GAT3;TUBB4B;TUBB4A;MZT1;SOD1;TMEM59;RSL1D1;SPCS1;MSRB2;STUB1;HDGF;EIF3F;PFKM;LAMTOR5;GRINA
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 367 Oligo down	193/698	2.103065e-59	3.080990e-57	0	0	5.131128e+00	6.932622e+02	EIF4A2;NCKAP1;VPS29;RPL34;PITPNA;ARPC5L;ATP5C1;GHITM;PCMT1;PPP2R1A;BSG;RPL37;PRKACA;ATP6V1E1;RPS11;RPL39;FBXO9;GABARAPL1;1110008P14RIK;WSB2;TANGO2;MIF;CFDP1;PRKAR1A;CLPP;MAP1B;VDAC1;EIF1B;ATF4;STXBP1;ATP5J;ATP5H;RTF1;MRPL12;MYL12B;ATP5B;PRDX5;ATP5E;SWI5;TSPAN7;ATP6V1C1;VTI1B;ATP6V0A1;ZWINT;MRPL30;RPS26;RNPS1;RPS20;CALM2;ITM2C;ARF4;COX7B;GDI1;PTPRN;CETN3;GDI2;OLA1;CLTA;HINT1;ACTR1B;GUK1;SLC22A17;SH3BGRL3;HRAS;TPI1;SYN1;MLF2;2010107E04RIK;PSMA1;TCP1;UFC1;MAPRE3;ALDOA;ARF5;TIMM9;ATP5A1;COX5B;PSMA7;MINOS1;ATP6V0E2;RPL17;NPM1;MDH1;COX6C;MZT1;SERBP1;CAPZA2;HNRNPA2B1;RPL22L1;HDGF;GRINA;RAB3A;TUSC2;NDUFA10;PEBP1;TXN2;ABHD12;AP2M1;RALBP1;SLC30A9;UBE2E1;TTC7B;ZCRB1;ATP1B1;SDHA;THOC7;ATP5J2;COX6B1;NCL;CMPK1;SCG5;MATR3;SRSF5;PPIA;ISCU;NDRG3;UQCRB;NDUFB10;ARL3;ANKRD12;COX7A2;KLC1;ORC5;PCSK1N;ZMAT2;CYC1;ATP6V1D;ATP6V1F;COA3;UQCC2;MOB4;ARPC2;RHEB;STK25;UQCRQ;CPE;DYNLRB1;CNIH2;COPS8;NOP10;RNF187;UBE2M;SLC25A3;RNF14;YWHAB;PSIP1;NENF;ATP5G3;GPI1;SUMO1;SKP1A;YWHAH;EIF5A;ATP6AP2;NDUFC1;ATP5F1;DNM1;PKM;NDUFS7;TRAPPC6B;NDUFS4;ATP6V1B2;RP9;PFDN2;SLC25A4;PFDN5;OTUB1;NDUFB9;SNAP47;NDUFB5;NAA20;NDUFB3;POMP;MFF;NCALD;GNG3;MAPK1;SNCB;TIMM8B;NDUFA6;NDUFA4;B3GAT3;CNBP;KCNIP4;HSPE1;GLRB;DNAJA2;DRG1;OCIAD1;EIF3H;BAX;EIF3E;ATXN10
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 31 Sncg up	177/606	2.918343e-58	3.420298e-56	0	0	5.497103e+00	7.282502e+02	CARS;TXN1;NDUFA11;CCNH;ATP5C1;PARK7;EPRS;EEF1B2;LAPTM4B;KRTCAP2;RNF115;PSMD4;HCFC1R1;DPF2;GOLGA7;ATG3;SARS;ACOT13;SDHC;SDHB;BSCL2;TMX3;PPA1;TMX1;SARNP;RPL7L1;MRTO4;CSNK2B;TMEM126A;VDAC3;AURKAIP1;FKBP3;PPID;ZFP622;INO80E;PSMD11;RPS19BP1;SAR1B;NDUFB11;PRKRIP1;ARL2;BRCC3;MRPL12;PRDX2;STIP1;2410015M20RIK;PPP4C;COMMD9;GRPEL1;GAR1;ATP6V1H;AP4S1;SUDS3;NDUFV2;STX4A;NDUFV1;NADK;MPDU1;TRAPPC2;HSPA9;YARS;TRAPPC3;SURF1;TRAPPC1;PMM1;TRAPPC4;UQCC1;RDX;RMDN3;TMEM192;2310061I04RIK;ASNS;MRPL21;COPRS;COPS4;GGCT;AIMP1;GNPTG;NSFL1C;COPS6;CNIH1;COPS5;EIF6;RNF181;NDUFAF3;COPS8;COPE;FARSB;MRPS15;CUEDC2;UBXN1;FAM45A;ZFAND2B;MRPS10;ATRAID;MRPL33;HERPUD1;MRPL42;TMEM222;VPS72;C1QBP;IDH3B;TIMM17A;UQCRFS1;BCAS2;TMED4;CCT3;CCT2;NUDC;GLRX3;PRMT3;AHSA1;NDUFC2;CACYBP;RABGGTB;REXO2;MRPL52;PSMA5;HAX1;SCNM1;PSMA2;MED21;TCP1;STRAP;NDUFS2;GARS;DNAJC8;SLC25A5;EEF1E1;PFDN6;NAPA;TSEN34;TMEM55B;CDC123;NDUFB8;STOML2;NDUFB6;RPL12;SF3B6;URM1;DCTN3;SNX32;SLC3A2;TIMM10;HSD17B12;PDHB;TM2D3;HSPD1;PSMB6;CST3;PSMB4;FAM213B;ASNA1;EMC2;EMC4;RABAC1;CCT7;METTL9;CCT5;CCT4;RANBP1;SPRYD7;TTC1;FAM213A;TMCO1;RSL1D1;PSMC6;NAGK;FABP5;EIF3K;JKAMP;PSMC1;EIF3E;LAMTOR4;LAMTOR3;EIF3D;SLC25A33
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 360 OPC down	226/937	4.494559e-58	3.971788e-56	0	0	4.325361e+00	5.711513e+02	BC031181;EIF4A2;RPL4;NCKAP1;APP;RPL32;RPL34;PITPNA;ARPC5L;GDE1;STMN3;EMC10;STMN4;RPL8;RPL6;RPS15;PCMT1;RPS14;RPS19;FTH1;BSG;PSMD1;RPL37;RPS11;RPL39;GABARAPL2;GABARAPL1;CFDP1;PRKAR1A;CLPP;MAP1B;CDIP1;VDAC1;RPL26;ATF4;BEX2;STXBP1;ATP5K;ATP5J;RTF1;GABARAP;ATP5B;PRDX5;ATP5E;ATP5D;SWI5;VTI1B;ATP6V0A1;FIS1;NDFIP2;RPL41;NTAN1;ZWINT;MRPL30;RPS26;RNPS1;RPS20;CALR;ITM2B;ITM2C;COX7B;RAB7;GDI1;RPLP1;RPLP0;CETN3;TECR;ARPC1A;GDI2;CLTA;SERP2;SLC22A17;CTSB;NUDC;ATP6V0B;TPI1;AES;MLF2;RGS7BP;ARF5;TIMM9;ATP5A1;NEDD8;UQCR11;COX5B;PPP2CA;MINOS1;SPOP;RPS3;RPS27A;PAIP2;ATP6V0E2;RPL17;ATAD1;MDH1;UBE2G1;TTC9B;COX6C;AIG1;TUBB4A;VMP1;PSMC1;SERBP1;CAPZA2;TOMM7;RPL22L1;YPEL3;LAMTOR5;SRP19;FAM49B;PEBP1;PARK7;COX6A1;SRP14;TXN2;ABHD12;FAM174A;CHCHD1;RAB2A;RPS9;RALBP1;RPS5;UBE2E1;TTC7B;UBE2E2;RPSA;ZCRB1;SDHA;ATP1B1;COX6B1;ATP5J2;FKBP8;SCG5;SNRNP27;MATR3;SRSF5;LY6H;PPIA;ARL8A;NDRG3;NDUFB10;PSMD14;ARL3;ANKRD12;COX7A2;KLC1;UQCRH;ORC5;PCSK1N;PSAP;AP4S1;COA3;HSPA8;CHTOP;UQCC2;NSG1;TBCA;HIGD2A;MOB4;ARPC2;UQCRQ;RHEB;CPE;SERINC1;ACO2;DYNLRB1;CNIH2;COPS8;NOP10;RNF187;SLC25A3;YWHAB;RNF14;PSIP1;BRK1;NENF;ATP5G3;RPS4X;CAPZB;SUMO1;SKP1A;YWHAH;EIF5A;ATP6AP1;ATP6AP2;EDF1;ATP5F1;SMDT1;PKM;DNAJC7;NDUFS6;TRAPPC6B;PFDN1;RP9;PFDN2;SLC25A4;PFDN5;NDUFB9;NAA20;NDUFB3;RAP1GDS1;POMP;MFF;CDC42;OGFRL1;GNG3;MAPK1;WASF1;POLR2J;SNCA;NDUFA8;NDUFA6;NDUFA4;NDUFA2;KCNIP4;PDAP1;RPL35A;HSPE1;ATOX1;GLRB;OCIAD1;EIF3H;STUB1;ATXN10;EIF3F;TPT1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 363 Oligo down	204/784	4.744457e-58	3.971788e-56	0	0	4.741517e+00	6.258469e+02	EIF4A2;RPL4;NCKAP1;RPL34;PITPNA;ARPC5L;ATP5C1;GHITM;RPL8;RPS15;PCMT1;RPS19;FTH1;BSG;RPL37;ATP6V1E1;RPS11;RPL39;FBXO9;GABARAPL1;1110008P14RIK;TANGO2;MIF;PRKAR1B;PRKAR1A;CDIP1;VDAC1;BEX2;MAGED1;STXBP1;ATP5K;ATP5J;ATP5H;RTF1;MYL12B;ATP5B;SCFD1;ATP5D;SWI5;TSPAN7;ATP6V1C1;VTI1B;ATP6V0A1;PEA15A;NTAN1;ZWINT;MRPL30;RPS26;RNPS1;RPS20;CALR;CALM2;ITM2B;ITM2C;COX7B;RAB7;GDI1;RPLP0;CETN3;GDI2;CLTA;MRPL42;HINT1;ACTR1B;GUK1;SLC22A17;TMSB4X;SH3BGRL3;AES;MRPL51;PSMA1;MAPRE3;ALDOA;ARF5;CDC123;TIMM9;ATP5A1;NEDD8;UQCR11;COX5B;COX5A;PSMA7;MINOS1;PSMB1;RPS3;ATP6V0E2;RPL17;NPDC1;NPM1;PNPLA8;COX6C;MZT1;VMP1;SERBP1;CAPZA2;RPL22L1;HDGF;LAMTOR3;YPEL3;RAB3A;TUSC2;PEBP1;PARK7;COX6A1;ABHD12;CHCHD4;AP2M1;RAB2A;RALBP1;RPS5;UBE2E1;TTC7B;UBE2E2;ACOT13;RPSA;SDHA;ATP1B1;RUNDC3A;THOC7;COX6B1;ATP5J2;NCL;MAP7D2;FKBP8;MATR3;SQSTM1;PPIA;ISCU;NDRG3;NDUFB10;PSMD14;ARL3;ANKRD12;COX7A2;KLC1;ORC5;PCSK1N;ZMAT2;AP4S1;ATP6V1D;ATP6V1F;COA3;HSPA8;UQCC2;HIGD2A;DRAP1;ARPC2;UQCRQ;PIN1;CPE;DYNLRB1;NOP10;RNF187;SLC25A3;RNF14;PSIP1;NENF;ATP5G3;RPS4X;TMEM222;SUMO1;UQCRFS1;SKP1A;BCAS2;YWHAH;EIF5A;ATP6AP1;AKTIP;NDUFC1;EDF1;SMDT1;PKM;TRAPPC6B;ATP6V1B2;PFDN1;RP9;PFDN2;DNAJC8;SLC25A4;PFDN5;OTUB1;NDUFB9;NDUFB5;POMP;ATP1A3;NCALD;GNG3;MAPK1;POLR2J;SNCA;TIMM8B;RWDD1;NDUFA6;NDUFA4;NDUFA2;KCNIP4;RPL35A;HSPE1;DNAJA2;VPS41;OCIAD1;EIF3H;STUB1;ATXN10
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 361 Oligo down	214/913	1.237173e-52	9.062289e-51	0	0	4.130839e+00	4.937245e+02	EIF4A2;RPL4;NCKAP1;VPS29;APP;RPL32;RPL34;ARPC5L;GDE1;EMC10;RPL8;RPL6;RPS15;PCMT1;RPS14;RPS19;FTH1;BSG;PSMD1;RPL37;ATP6V1E1;RPS11;RPL39;GABARAPL2;GABARAPL1;1110008P14RIK;TANGO2;MIF;PRKAR1A;FEZ1;CLPP;CDIP1;RPL26;ATP6V0D1;ATF4;BEX2;ATP5K;ATP5J;ATP5H;RTF1;SNX3;MRPL20;ATP5B;1110051M20RIK;ATP5D;SWI5;TSPAN7;VTI1B;FIS1;NTAN1;RPS26;RNPS1;RPS20;CALM2;TPRGL;ITM2B;ITM2C;COX7B;RAB7;GDI1;TECR;GDI2;ICA1;CLTA;UBL5;HINT1;GUK1;SLC22A17;SH3BGRL3;CTSB;ATP6V0B;AKR1A1;AES;MLF2;2010107E04RIK;MAPRE3;HNRNPH3;ALDOA;ARF5;ATP5A1;NEDD8;UQCR11;COX5B;PSMA7;PPP2CA;MINOS1;SPOP;RPS3;CKB;RPS27A;PAIP2;ATP6V0E2;DTD1;RPL17;NPDC1;RANBP1;NPM1;COX6C;AIG1;MZT1;SERBP1;HNRNPA2B1;CAPZA2;TOMM7;RPL22L1;HDGF;YPEL3;SRP19;FAM49B;PEBP1;COX6A1;FAM174A;MPC2;STK16;KPNA3;RPS9;RALBP1;RPS5;APLP1;ZCRB1;SDHA;ATP1B1;COX6B1;ATP5J2;SCG5;SNRNP27;MATR3;SRSF5;PPIA;ARL8A;RTN3;UQCRB;NDUFB10;ARL3;ANKRD12;COX7A2;KLC1;UQCRH;ORC5;PCSK1N;BAG1;PSAP;FOPNL;ATP6V1F;COA3;HSPA8;UQCC2;TBCA;HIGD2A;MOB4;CNIH1;ARPC2;UQCRQ;RHEB;PIN1;CPE;SERINC1;ACO2;DYNLRB1;NOP10;RNF187;YWHAE;SLC25A3;YWHAB;RNF14;USP33;PSIP1;BRK1;NENF;RPS4X;SUMO1;SKP1A;YWHAH;EIF5A;ATP6AP1;EDF1;ATP5F1;SMDT1;PKM;NDUFS6;TRAPPC6B;NDUFS4;ATP6V1B2;PFDN1;RP9;PFDN2;DNAJC8;SLC25A4;PFDN5;NDUFB9;RAP1GDS1;POMP;MFF;CDC42;GNG3;MAPK1;ROMO1;POLR2J;TIMM8B;NDUFA8;NDUFA6;NDUFA4;CNBP;NDUFA3;NDUFA2;KCNIP4;PDAP1;RPL35A;ATOX1;OCIAD1;DRG1;ATXN10;EIF3F;TPT1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 362 Oligo down	196/791	4.403522e-52	2.867182e-50	0	0	4.410416e+00	5.215406e+02	EIF4A2;RPL4;VPS29;RPL34;PITPNA;ARPC5L;GHITM;RPL8;RPS15;PCMT1;RPS19;PPP2R1A;FTH1;BSG;PSMD1;RPL37;ATP6V1E1;RPS11;FBXO9;GABARAPL2;GABARAPL1;1110008P14RIK;TANGO2;MIF;CFDP1;PRKAR1B;PRKAR1A;SARNP;CDIP1;VDAC1;BEX2;MAGED1;ATP5J;ATP5H;RTF1;MYL12B;ATP5B;ATP5D;SWI5;TSPAN7;ATP6V1C1;VTI1B;NTAN1;ZWINT;MRPL30;RNPS1;RPS20;CALM2;ITM2B;ITM2C;COX7B;RAB7;GDI1;TECR;GDI2;CLTA;HINT1;GUK1;SH3BGRL3;ATP6V0B;AES;MRPL51;2010107E04RIK;MAPRE3;HNRNPH3;ALDOA;ARF5;CDC123;TIMM9;ATP5A1;NEDD8;COX5B;COX5A;PSMA7;SPOP;ATP6V0E2;RPL17;NPDC1;NPM1;MDH1;PNPLA8;COX6C;AIG1;MZT1;SERBP1;CAPZA2;RPL22L1;LAMTOR4;YPEL3;FAM49B;RAB3A;TUSC2;NDUFA10;PEBP1;PARK7;COX6A1;TXN2;AP2M1;RALBP1;UBE2E1;ZCRB1;SDHA;ATP1B1;RUNDC3A;THOC7;COX6B1;NCL;MAP7D2;FKBP8;CMPK1;SCG5;MATR3;SRSF5;SQSTM1;PPIA;RTN3;NDRG3;UQCRB;NDUFB10;ARL3;ANKRD12;COX7A2;KLC1;ORC5;PCSK1N;BRINP1;ZMAT2;BAG1;NDUFV2;ATP6V1D;ATP6V1F;COA3;HSPA8;UQCC2;HIGD2A;DRAP1;ARPC2;UQCRQ;RHEB;CPE;SERINC1;DYNLRB1;NOP10;RNF187;SLC25A3;YWHAB;RNF14;PSIP1;NENF;ATP5G3;TMEM222;CAPZB;SUMO1;UQCRFS1;SKP1A;BCAS2;YWHAH;EIF5A;ATP6AP1;AKTIP;NDUFC1;EDF1;ATP5F1;DNM1;SMDT1;PKM;NDUFS7;TRAPPC6B;NDUFS4;ATP6V1B2;RP9;PFDN2;DNAJC8;SLC25A4;PFDN5;NDUFB9;NDUFB5;NDUFB3;POMP;CDC42;GNG3;MAPK1;ROMO1;TIMM8B;NDUFA6;NDUFA4;CNBP;NDUFA2;KCNIP4;RPL35A;HSPE1;VPS41;OCIAD1;EIF3H;STUB1;ATXN10
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 366 Oligo down	196/795	1.028993e-51	6.029896e-50	0	0	4.379984e+00	5.142244e+02	EIF4A2;NCKAP1;RPL34;PITPNA;ARPC5L;HNRNPR;GHITM;PCMT1;PSMD7;RPL37;ATP6V1E1;RPS11;RPL39;GABARAPL2;GABARAPL1;1110008P14RIK;MIF;EWSR1;PRKAR1A;CLPP;MAP1B;ATP6V0D1;EIF1B;ATF4;STXBP1;ATP5K;ATP5J;RTF1;SNX3;MRPL20;ATP5B;SCFD1;ATP5E;1110051M20RIK;ATP5D;ERI3;SWI5;TSPAN7;AI413582;ATP6V1C1;VTI1B;ATP6V0A1;FIS1;PMM1;ZWINT;RPS26;RPS20;CALR;CALM2;ITM2B;ITM2C;COX7B;RAB7;GDI1;RPLP1;PTPRN;TECR;GDI2;CLTA;SPPL3;FARS2;UBL5;HINT1;GUK1;SLC22A17;SH3BGRL3;ATP6V0B;TMED9;AKR1A1;DYNLL1;SYN1;AES;MLF2;2010107E04RIK;MAPRE3;HNRNPH3;ALDOA;ARF5;ATP5A1;NEDD8;UQCR11;PSMA7;PPP2CA;MINOS1;RABAC1;ATP6V0E2;RPL17;METTL9;NPDC1;NPM1;COX6C;SERBP1;HNRNPA2B1;TOMM7;RPL22L1;HDGF;FAM49B;PEBP1;COX6A1;ABHD12;RAB2A;RALBP1;STX7;UBE2E1;ZCRB1;SDHA;ATP1B1;RUNDC3A;COX6B1;ATP5J2;TMX3;FKBP8;SNRNP27;MATR3;SRSF5;GEMIN7;PPIA;ARL8A;NDRG3;PSMD11;NDUFB10;ANKRD12;COX7A2;KLC1;UQCRH;HSP90B1;ORC5;PCSK1N;ZMAT2;ATP6V1F;COA3;CHTOP;HIGD2A;CNIH1;ARPC2;UQCRQ;RHEB;PIN1;CPE;SERINC1;DYNLRB1;NOP10;RNF187;SLC25A3;YWHAB;RNF14;PSIP1;BRK1;GPI1;SUMO1;SKP1A;YWHAH;EIF5A;ATP6AP1;AKTIP;ATP6AP2;NDUFC1;EDF1;ATP5F1;SMDT1;PKM;NDUFS6;TRAPPC6B;NDUFS4;ATP6V1B2;RP9;PFDN2;DNAJC8;SLC25A4;PFDN5;NDUFB9;GTF2A2;NDUFB5;TM2D1;RAP1GDS1;POMP;MFF;NCALD;CDC42;MAPK1;TIMM8B;NDUFA6;NDUFA4;CNBP;NDUFA2;KCNIP4;PDAP1;RPL35A;HSPE1;GLRB;VAPA;VPS41;OCIAD1;DRG1;EIF3H;ATXN10
