Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CellMarker_Augmented_2021	Mesenchymal Stem cell:Brown Adipose Tissue	44/102	1.067628e-08	1.077237e-05	0	0	3.328851e+00	6.110187e+01	YAP1;MAOB;UCP1;PTPN21;ATP1A2;KALRN;PTPRG;KCNT2;ERBB4;DMD;GPC6;PRKG1;MAPK4;CDON;SH3D19;CAP2;RUNX1T1;CADPS2;FARP1;EPHA7;HFM1;DST;CACNA2D1;COBL;ANK2;ESRRG;SORBS2;NAV2;PROX1;MID1;LRP1B;PBX1;AGT;PARD3B;CYP39A1;PTPRD;TJP1;FRAS1;ASXL3;TLN2;ALDH7A1;FREM1;FGF12;RAPGEF4
CellMarker_Augmented_2021	PROM1High Progenitor cell:Large Intestine	41/96	4.716551e-08	2.379500e-05	0	0	3.269028e+00	5.514720e+01	MCFD2;TENM3;COL12A1;DOCK7;FMN2;GXYLT2;ANTXR1;FGF2;PTPRG;ADAMTSL1;CLMP;BMPER;DSEL;ABL2;HAS2;APBB2;SLIT2;SUSD5;SLC16A2;ARHGEF10;CCBE1;FARP1;MYO10;ARMC9;FN1;MOK;NAV2;EML1;BICC1;CTTNBP2NL;PPFIBP1;TTC8;CCDC80;FRMD6;NAV3;P4HA3;CALU;AMOTL2;ALDH7A1;RBMS3;FBN1
CellMarker_Augmented_2021	LGR5+ Stem cell:Small Intestine	40/98	2.984156e-07	1.003671e-04	0	0	3.022954e+00	4.541922e+01	YAP1;COL16A1;COL14A1;COL12A1;PTPN21;FBLN1;LAMC1;THBS2;ANTXR1;UACA;ADCY6;EGFR;PTPRG;ADAMTSL1;CALD1;TIMP3;LRIG3;HMCN1;TEAD1;SH3D19;POSTN;IGFBP5;LAMB2;FN1;SULF1;PARD3B;TJP1;TANC1;CCDC80;COL4A2;COL4A1;PALLD;COL6A1;PXDN;FAT1;AMOTL2;FKBP9;FAT4;FBXL7;FBN1
CellMarker_Augmented_2021	Oxyntic Stem cell:Stomach	38/99	3.503393e-06	5.891539e-04	0	0	2.728589e+00	3.427593e+01	ARHGAP11A;CDCA2;NCAPG2;MCM10;TTK;HMMR;BRCA1;KIF11;NCAPH;KIF15;RACGAP1;NUF2;PBK;RAD54L;MYBL2;ECT2;GTSE1;BUB1;GINS1;HELLS;POLQ;STIL;CKAP2L;ATAD2;KIF23;CDC25C;SHCBP1;NDC80;CCNA2;ANLN;TPX2;CENPE;NEIL3;KIF18A;KIFC1;CENPI;PRC1;KIF20A
CellMarker_Augmented_2021	Oxyntic Progenitor cell:Stomach	38/99	3.503393e-06	5.891539e-04	0	0	2.728589e+00	3.427593e+01	ARHGAP11A;CDCA2;NCAPG2;MCM10;TTK;HMMR;BRCA1;KIF11;NCAPH;KIF15;RACGAP1;NUF2;PBK;RAD54L;MYBL2;ECT2;GTSE1;BUB1;GINS1;HELLS;POLQ;STIL;CKAP2L;ATAD2;KIF23;CDC25C;SHCBP1;NDC80;CCNA2;ANLN;TPX2;CENPE;NEIL3;KIF18A;KIFC1;CENPI;PRC1;KIF20A
CellMarker_Augmented_2021	Progenitor cell:Stomach	38/99	3.503393e-06	5.891539e-04	0	0	2.728589e+00	3.427593e+01	ARHGAP11A;CDCA2;NCAPG2;MCM10;TTK;HMMR;BRCA1;KIF11;NCAPH;KIF15;RACGAP1;NUF2;PBK;RAD54L;MYBL2;ECT2;GTSE1;BUB1;GINS1;HELLS;POLQ;STIL;CKAP2L;ATAD2;KIF23;CDC25C;SHCBP1;NDC80;CCNA2;ANLN;TPX2;CENPE;NEIL3;KIF18A;KIFC1;CENPI;PRC1;KIF20A
CellMarker_Augmented_2021	Mesenchymal Progenitor cell:Cartilage	37/96	4.185087e-06	6.032504e-04	0	0	2.746441e+00	3.401187e+01	YAP1;COL16A1;COL12A1;PTPN21;PLOD2;LAMC1;ANTXR1;EGFR;PTPRG;SGCE;NUAK1;CALD1;ITGAV;APBB2;LRIG3;TEAD1;SH3D19;CAP2;STARD13;DST;CAV1;CRIM1;FN1;NAV2;MID1;CTTNBP2NL;TJP1;TANC1;PPFIBP1;FRMD6;COL4A2;COL4A1;PALLD;FAT1;AMOTL2;FKBP9;FBN1
CellMarker_Augmented_2021	Gonadal Endothelial cell:Fetal Gonad	124/459	6.136565e-06	7.739743e-04	0	0	1.631812e+00	1.958378e+01	MAML2;ATP8A1;PLXND1;RAPH1;DIXDC1;ZDHHC7;FAM107B;PREX1;EDNRB;FCGRT;CHEK2;PIEZO2;DIP2B;GEN1;ENTPD1;RALGAPA2;LMO2;ANXA11;FRMD4A;CDYL;TANC2;SCO1;ADAM15;STIM2;TIMELESS;TAGLN2;SLC27A3;UTRN;PHLDB2;ABCG1;SKAP2;FKBP5;DNMT1;SHC1;PXN;CDCA7;PLD2;EFNB2;RACGAP1;MAN2A1;ZKSCAN8;PLXNA2;PMAIP1;A2M;VTI1B;XRCC4;FN1;NR2F1;ARHGAP29;NFKB1;NET1;YEATS2;CNOT1;MYO5C;GNAS;HBP1;FXYD5;AMOTL1;RGL1;RNF185;FBXL7;NRP1;DOCK4;MAST4;ARPC1B;ICA1;LAMC1;CKS1B;TTC28;CSRP1;TMEM44;MDK;NMRK1;PDE4B;TIMP3;PMEPA1;ADAMTS7;MAP4K2;ANXA2;CTDSPL;PALD1;TNFRSF1A;TBC1D1;ELF1;INF2;NAV3;COL6A2;PXDN;PIGK;ITGA5;ARHGEF2;ARHGEF7;RAPGEF6;ENG;ITGA9;NFAT5;HPGD;DENND3;ASAP1;ASAP2;MTIF3;TFPI;AIF1;HDAC7;SH3TC1;SNCG;ZSWIM6;LRIG3;IGF2BP2;SH2B3;BUB1;PDLIM7;SASH1;MAP4K4;ANGPT1;PLEKHA1;DAB2IP;MEIS2;TJP1;FMNL3;TTLL5;NFIB;TSPAN18;VIM
CellMarker_Augmented_2021	Colonic Stem cell:Colon	37/99	9.619344e-06	7.779120e-04	0	0	2.613065e+00	3.018543e+01	YAP1;PTPRU;TUSC3;NXN;PTPN21;FBLN1;ASAP2;SEMA3F;ANTXR1;PTPRF;ADCY6;NYNRIN;TSPAN9;MDK;DAG1;LRIG3;MYH10;TEAD1;TBC1D16;ADAMTS7;AADAT;LAMB2;PCGF2;DAB2IP;KIF7;MID1;TANC1;FRAS1;TMEM98;PTK7;PARD3;DLG5;PXDN;FAT1;AMOTL2;FKBP9;PFN2
CellMarker_Augmented_2021	Mesenchymal Progenitor cell:Bone Marrow	36/96	1.156460e-05	7.779120e-04	0	0	2.626804e+00	2.986035e+01	YAP1;COL16A1;TENM3;COL12A1;PTPN21;PLOD2;ANTXR1;FGF2;PTPRG;ADAMTSL1;SGCE;NUAK1;CALD1;MAP4;TEAD1;SH3D19;CAP2;CACNA2D1;CAV1;DAB2IP;FN1;NAV2;MID1;DKK3;ARHGAP23;TJP1;PPFIBP1;COL4A2;COL4A1;FAT1;AMOTL2;FKBP9;AMOTL1;FAT4;FBXL7;FBN1
