Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	93/300	1.632267e-07	8.636323e-04	0	0	1.979573e+00	3.093702e+01	COLGALT2;COL16A1;ITGB5;COL14A1;ELN;COL12A1;PLOD3;PLOD2;LAMC2;ITGAE;LAMC1;FGF2;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;IBSP;ADAMTSL4;ADAMTS1;CREB3L1;ADAMTSL3;CTSK;DAG1;FLOT1;TNR;ITGB8;ITGAV;TIMP1;CAPN1;ATP7A;ADAMTS7;FGA;POSTN;DST;ITGA4;COL25A1;NPNT;MMP9;ADAM19;KIF9;MMP14;VCAN;ADAM15;COL4A2;ITGAD;COL4A1;COL4A4;COL6A2;PXDN;COL6A1;COL6A3;ITGA7;ADAM8;ITGA6;ITGA5;LCP1;ITGA9;FBN2;LAMA5;LAMA2;LAMA1;COL11A1;COL11A2;PAPLN;PDGFA;NOXO1;NID2;ADAMTS10;ADAMTS16;ADAMTS13;SCUBE1;ADAMTS18;HAS2;A2M;COL28A1;COL26A1;COL24A1;LAMB2;COL22A1;FN1;BMP1;SMOC1;COL5A3;P4HA3;ITGA11;COL9A1;COL20A1;NF1;TLL1;TGFBI;AGRN;RECK;FBN1
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	71/216	4.093706e-07	1.082990e-03	0	0	2.152827e+00	3.166516e+01	COL16A1;ITGB5;COL14A1;ELN;LAMC2;ITGAE;LAMC1;FGF2;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;IBSP;ADAMTSL4;ADAMTS1;ADAMTSL3;DAG1;TNR;ITGB8;ITGAV;ATP7A;ADAMTS7;FGA;POSTN;ITGA4;TEX14;NPNT;MMP9;ADAM19;MMP14;VCAN;ADAM15;COL4A2;ITGAD;COL4A1;COL4A4;COL6A2;PXDN;COL6A1;COL6A3;ITGA7;ITGA6;ITGA5;ITGA9;FBN2;LAMA5;LAMA2;LAMA1;COL11A1;COL11A2;PAPLN;PDGFA;NID2;ADAMTS10;ADAMTS16;ADAMTS13;ADAMTS18;COL28A1;COL24A1;LAMB2;COL22A1;FN1;SMOC1;COL5A3;ITGA11;COL9A1;NF1;TGFBI;AGRN;RECK;FBN1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	70/217	1.076655e-06	1.898861e-03	0	0	2.092797e+00	2.875848e+01	COL16A1;ITGB5;COL14A1;ELN;LAMC2;ITGAE;LAMC1;FGF2;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;IBSP;ADAMTSL4;ADAMTS1;ADAMTSL3;DAG1;TNR;ITGB8;ITGAV;ATP7A;ADAMTS7;FGA;POSTN;ITGA4;NPNT;MMP9;ADAM19;MMP14;VCAN;ADAM15;COL4A2;ITGAD;COL4A1;COL4A4;COL6A2;PXDN;COL6A1;COL6A3;ITGA7;ITGA6;ITGA5;ITGA9;FBN2;LAMA5;LAMA2;LAMA1;COL11A1;COL11A2;PAPLN;PDGFA;NID2;ADAMTS10;ADAMTS16;ADAMTS13;ADAMTS18;COL28A1;COL24A1;LAMB2;COL22A1;FN1;SMOC1;COL5A3;ITGA11;COL9A1;NF1;TGFBI;AGRN;RECK;FBN1
GO_Biological_Process_2021	regulation of small GTPase mediated signal transduction (GO:0051056)	49/141	4.303674e-06	4.559769e-03	0	0	2.335362e+00	2.885583e+01	ARHGAP11A;ARHGAP6;ARHGAP4;SYDE2;PREX1;AKAP13;OPHN1;MCF2L;ARHGDIB;PLCE1;ITGAV;TGM2;ARHGEF12;ARAP3;ARHGEF18;ARAP1;GMIP;TIAM2;ARHGAP10;ARHGEF9;DEPDC7;ARHGEF2;ARHGEF7;SOS2;ARHGEF5;ARHGEF26;SRC;ARHGAP17;ARHGAP15;KALRN;ARHGAP22;ARHGAP21;FGD4;ARHGAP20;RELN;RACGAP1;SRGAP3;SLIT2;A2M;ECT2;STARD13;ARHGAP29;MYO9B;ARHGAP26;ARHGAP23;NET1;ARHGAP31;DLC1;TRIP10
GO_Biological_Process_2021	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	12/17	4.308986e-06	4.559769e-03	0	0	1.047495e+01	1.294160e+02	HCN4;CACNB2;CACNA2D1;ANK2;ATP1A2;CACNA1D;CACNA1C;SCN3B;SCN4B;SLC8A1;CACNA1G;TRPM4
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	112/408	7.803017e-06	6.880961e-03	0	0	1.666639e+00	1.960135e+01	SEMA5B;PLXND1;ZMYND8;ULK4;FAM107A;FGF2;IGF1R;DOCK10;DACH1;PLAU;DAG1;AKT1;EPHB2;ARID2;GTSE1;EPHA4;IGFBP5;HGF;MAGI2;SRCIN1;RNF41;ADAM15;VCL;MACF1;CEMIP;CHRD;PDGFA;FOXO3;SDCBP;PDCD10;PDGFC;NKX2-1;PLXNA2;SRGAP3;PLXNA3;NTNG1;NGFR;INSR;CAV1;FUZ;IGF1;PLET1;SMAD7;VIL1;FER;CXCL12;STK24;DLG5;TRIP6;NF1;PLXNB2;PLXNB1;ATM;AMOTL2;NF2;AMOTL1;PTPRU;PTPRJ;LAMC2;PTPRK;SYNE2;CX3CL1;ARHGAP4;MDK;PHACTR1;APPL2;SUN2;DUSP3;DDX58;SPHK1;MINK1;MMP9;MMP14;KIF2A;NAV3;ANGPTL3;NUMB;CDH13;ITGA6;SGK3;MAPRE1;ENG;ROCK1;SEMA3C;SEMA3D;SRC;SEMA3A;CAMK2A;NEXN;SEMA3F;AIF1;EGFR;GPNMB;ERBB4;NTF3;GCNT2;FLNA;HAS2;PTK2B;SLIT2;SASH1;MAP4K4;SEMA4D;EGF;SEMA4B;SULF1;PODN;TJP1;MYO1C;DLC1;RECK;TRIM32
GO_Biological_Process_2021	cell-matrix adhesion (GO:0007160)	36/100	3.254271e-05	2.459764e-02	0	0	2.462020e+00	2.543995e+01	ITGB5;SRC;ILK;PTPRK;MSLN;NID2;PKD1;THBS3;SGCE;ADAMTS13;TNN;ITGB8;ITGAV;CD34;PPFIA2;TMEM8B;CD96;FGA;ACTN3;ITGA4;ACTN2;ACTN1;FN1;TSC1;NPNT;BCAM;ADAM15;STRC;DLC1;ITGA11;TRIP6;ANGPTL3;ITGBL1;ITGA7;ARHGEF7;VCL
GO_Biological_Process_2021	negative regulation of cell migration (GO:0030336)	47/144	4.251146e-05	2.708100e-02	0	0	2.122767e+00	2.136721e+01	PTPRU;LRP1;ZMYND8;CHRD;PTPRJ;PTPN23;PTPRK;FOXO3;FGF2;CX3CL1;ARHGAP4;PTPRG;DACH1;TNN;ARHGDIB;DAG1;NKX2-1;HMOX1;SRGAP3;TIMP1;SLIT2;ARID2;CLASP1;EPHA4;NGFR;DUSP3;IGFBP5;MAGI2;DAB2IP;FUZ;MCC;PODN;SULF1;RNF41;SMAD7;ADAM15;STK24;NAV3;DLG5;DLC1;NF1;NF2;PHLDB2;RECK;VCL;PFN2;ENG
GO_Biological_Process_2021	regulation of neuron projection development (GO:0010975)	52/165	4.970568e-05	2.708100e-02	0	0	2.016787e+00	1.998513e+01	TENM3;LRRK2;ULK4;CX3CL1;MDK;KIF13B;AKT1;KIF1A;FBXO7;EPHB3;MFSD2A;PPFIA2;EPHA4;MYLIP;CDKL5;CAMK1D;DCC;MAGI2;CBFA2T2;SRCIN1;TANC2;ARC;FRMD7;LRRC7;RAPGEF1;ITGA6;PRKD1;BRSK2;HDAC2;LTK;SEMA3A;TWF2;PLA2G3;ADCY6;STYXL1;EFNB2;SNX3;RELN;ABL2;PTK2B;CSMD3;LRRC4C;PDLIM5;CAMK2G;NTNG1;PLK5;DAB2IP;MBOAT1;CCDC88A;FES;PTK7;PLXNB2
GO_Biological_Process_2021	regulation of cell adhesion (GO:0030155)	44/133	5.118314e-05	2.708100e-02	0	0	2.165214e+00	2.139253e+01	PLXND1;ROCK1;SRC;PDE3B;CHRD;ADAM22;FBLN1;PTPRJ;CELSR2;NUAK1;IBSP;PLAU;MDK;ARHGDIB;ABL1;PLXNA2;ABL2;PTK2B;IL12A;ITGAV;EPHB2;EPHB3;TGM2;PLXNA3;EPHA4;EPHA7;ZFHX3;DSCAM;ANGPT1;SEMA4D;EPHA8;MINK1;TFE3;GPR4;PTPN11;CXCL12;FES;PLXNB2;CDH13;ADAM8;PKP4;ATM;PLXNB1;TGFBI
