Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	152/600	2.662131e-05	8.870565e-03	0	0	1.496737e+00	1.576633e+01	FHOD3;FHOD1;FAM107A;CLU;OPHN1;ARHGDIB;TEKT1;TEKT2;AKT1;KNTC1;TEKT5;GTSE1;CDK5RAP2;GAS2L3;SYCE1L;ACTN2;MTUS1;CASK;KRT77;MYO7A;EML1;SRCIN1;TUBA4A;CLIP1;ARC;FRMD6;DGKQ;AKAP9;ODF3B;PKP4;PPP1R42;TNIK;TLN2;UTRN;PHLDB2;VCL;MACF1;ABCB4;HTRA2;IQGAP1;HMMR;KALRN;NDRG1;RHOBTB1;ACACA;ARHGAP21;CNN1;SDCBP;NUAK1;NDOR1;CALD1;MICAL1;MYO6;ABL1;ABL2;MAP4;VILL;FAM83D;MDN1;PLK1;MYO5A;NEB;PARVB;VIL1;ANLN;MSRA;TPX2;FER;KIF18A;DLG4;FES;MYO5B;TRIP6;MYO5C;NF2;CDK16;TENM1;HIP1;EDA;MTCL1;ARPC1B;ARPC1A;FMN2;LSP1;SMG7;ARHGAP6;LYST;BICD1;TRIOBP;SYNE2;AKAP13;CAPZB;NOS1;NINL;ACTR3;CCT3;CCDC110;DST;DDX58;PAWR;SPTB;CIT;CTTNBP2NL;DNM2;DNM3;MMP14;PALLD;RARA;MYH9;ALDOC;LCP1;ARHGEF2;ALDOA;ROCK1;DCTN1;ZBTB49;MVP;NEXN;ADD1;ABLIM1;ABLIM2;ABLIM3;KATNA1;FLNA;IGF2BP2;RGS22;PDLIM5;WASF2;PDLIM4;CORIN;PDLIM7;MPP2;SVIL;SPAG6;MX2;MYO9B;SORBS2;CDC42BPB;BAIAP2;LRPPRC;AGBL5;DNAJA1;CENPE;MYO1E;MYO1C;TEC;TTLL3;MYO1A;PRC1;CROCC;FILIP1;VIM
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	88/316	3.968933e-05	8.870565e-03	0	0	1.696067e+00	1.718867e+01	ARPC1B;WIPF3;ARPC1A;FAM107A;SLC2A1;FMN2;LSP1;ARHGAP6;TRIOBP;AKAP13;OPHN1;SH3PXD2A;CAPZB;FLOT1;KNTC1;PLS1;ACTR3;GAS2L3;ACTN3;ACTN2;DDX58;ACTN1;PAWR;CASK;COBL;TSC1;MYO7A;MYRIP;SRCIN1;SPTB;CTTNBP2NL;ARC;KIF9;PALLD;GAS2;RARA;MYH9;ADAM8;TLN2;LCP1;ALDOA;RAPGEF3;MACF1;SPTBN4;ABCB4;TWF2;NEXN;ASAP1;IQGAP1;KALRN;AIF1;ACACA;CORO1B;ARHGAP21;ABLIM1;ABLIM2;ABLIM3;CALD1;MICAL1;MYO6;ABL1;FLNA;ABL2;VILL;RGS22;PDLIM5;WASF2;CORIN;PDLIM7;SVIL;MYO5A;MYO9B;SORBS2;NEB;PARVB;BAIAP2;VIL1;ANLN;MSRA;MYO1E;FER;MYO1C;MYO1A;MYO5B;DLC1;CROCC;MYO5C;FILIP1
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	100/380	1.378280e-04	2.053637e-02	0	0	1.569484e+00	1.395194e+01	SPON1;COL16A1;COL12A1;CLU;LGALS4;TNN;DAG1;HMCN2;TNR;HMCN1;TGM4;CDON;TGM2;POSTN;LMAN1L;ANXA11;CASK;NPNT;ADAM19;BCAM;COL4A2;COL4A1;COL4A4;S100A6;FBN2;LTBP4;FBLN1;LTBP2;LTBP1;NID2;ADAMTS10;IGFBP7;NDP;A2M;WNT2;COL28A1;COL24A1;FN1;CXCL12;IL7;COL5A3;COL9A1;COL20A1;TGFBI;FGFR2;FBN1;ECM1;COL14A1;ELN;TGFB1I1;LAMC2;LAMC1;ADAMTSL4;ADAMTS1;MDK;ANXA7;TIMP3;CTSC;FGA;ANXA2;DST;COL25A1;ANXA4;MMP9;ATRN;VCAN;COL6A2;PXDN;COL6A1;ANGPTL3;VWA1;CDH13;COL6A3;MATN2;LAMA5;LAMA2;LAMA1;COL11A1;FGL1;COL11A2;FGL2;NTN5;THBS2;THBS4;THBS3;LMAN1;CHADL;LEFTY2;COL26A1;ANGPT1;LAMB2;PODN;SULF1;AGT;FRAS1;SMOC1;AGRN;CBLN4;C1QC;PF4
GO_Cellular_Component_2021	polymeric cytoskeletal fiber (GO:0099513)	71/256	2.396045e-04	2.677580e-02	0	0	1.683163e+00	1.403172e+01	WIPF3;KIF11;ARHGAP6;KIF17;KIF15;KIF13A;KIF13B;TLK2;KIF1C;KIF21B;KIF1A;CDK5RAP3;CDK5RAP2;PLS1;DYNC2H1;CCT3;GAS2L3;ACTN3;DST;ACTN2;ACTN1;KRT2;PAWR;COBL;KIF23;TSC1;KIF7;KIF6;MID1;KIF27;TUBA4A;DNM2;KIF9;CLIP1;KIF2A;KATNAL2;KIFC1;PALLD;GAS2;KIF20A;ARHGEF2;LCP1;KIF20B;MAPRE1;MACF1;SPTBN4;DYNC1I2;DCTN1;TWF2;IQGAP1;AIF1;NDRG1;CAMSAP1;CORO1B;MICAL1;MYO6;PRPH;DYNC1H1;MYO5A;MYO9B;KRT10;FHDC1;LRPPRC;CENPE;TPPP3;DLG1;KIF18A;BFSP1;KIF26B;RADIL;VIM
GO_Cellular_Component_2021	basement membrane (GO:0005604)	20/52	6.719816e-04	5.006263e-02	0	0	2.729183e+00	1.993745e+01	LAMA5;DST;LAMA2;LAMA1;LAMB2;CASK;NTN5;LAMC2;LAMC1;NID2;THBS4;ATRN;FRAS1;COL4A1;COL4A4;SMOC1;DAG1;COL9A1;AGRN;FBN1
GO_Cellular_Component_2021	sarcolemma (GO:0042383)	20/52	6.719816e-04	5.006263e-02	0	0	2.729183e+00	1.993745e+01	RYR1;POPDC2;RYR2;MLIP;CAV1;DYSF;SLC2A1;ANK2;SLC2A5;SGCZ;RYR3;SLC8A1;SLC8A2;SGCD;DAG1;DMD;NOS1;SYNC;BVES;VCL
GO_Cellular_Component_2021	supramolecular fiber (GO:0099512)	10/19	9.035739e-04	5.754258e-02	0	0	4.845720e+00	3.396439e+01	FBN2;ADAMTSL5;ELN;LTBP4;MYH8;FBLN1;LTBP1;ADAMTS10;FBN1;MYH7
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	97/387	1.029845e-03	5.754258e-02	0	0	1.467773e+00	1.009585e+01	MDC1;FAM107A;SLC4A2;PPP1CC;RPS19;PLAU;DAG1;CAPN1;TNS3;TNS1;TGM2;ACTN3;ACTN2;RPS5;ACTN1;RPL22;CASK;LMO7;SRCIN1;TLN2;TLN1;PHLDB2;VCL;FBLN7;ABCB4;PXN;IQGAP1;CORO1B;ARHGAP22;DPP4;EFNB2;CNN1;RRAS;TSPAN9;PACSIN2;CAV1;LAYN;PARVB;IGF2R;PPFIBP1;PTK7;FES;TRIP6;ITGA11;FAT1;PI4KA;ITGBL1;NRP1;ITGB5;ARPC1B;TGFB1I1;SNAP23;DOCK7;ILK;TRIOBP;SYNE2;CSRP1;FLOT1;ITGB8;ITGAV;SCARF2;YWHAG;ACTR3;DST;ITGA4;KIF23;YWHAZ;DNM2;MMP14;PALLD;MTF2;NUMB;CDH13;MYH9;ITGA6;ITGA5;LCP1;ARHGEF2;ARHGEF7;MAPRE1;ENG;LRP1;SRC;STX16;NEXN;EGFR;ADD1;FLNA;PTK2B;CLASP1;PDLIM7;MAP4K4;SVIL;NFASC;DLC1;CTNNB1;VIM
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	98/394	1.268629e-03	5.853697e-02	0	0	1.452699e+00	9.689239e+00	MDC1;FAM107A;SLC4A2;PPP1CC;RPS19;PLAU;DAG1;CAPN1;TNS3;TNS1;TGM2;ACTN3;ACTN2;RPS5;ACTN1;RPL22;CASK;LMO7;SRCIN1;TLN2;TLN1;PHLDB2;VCL;FBLN7;ABCB4;PXN;IQGAP1;CORO1B;ARHGAP22;DPP4;EFNB2;CNN1;RRAS;TSPAN9;PACSIN2;CAV1;LAYN;PARVB;IGF2R;PPFIBP1;PTK7;FES;TRIP6;ITGA11;FAT1;PI4KA;ITGBL1;NRP1;ITGB5;ARPC1B;TGFB1I1;SNAP23;DOCK7;ILK;TRIOBP;SYNE2;CSRP1;FLOT1;ITGB8;ITGAV;SCARF2;YWHAG;ACTR3;DST;ITGA4;KIF23;YWHAZ;DNM2;MMP14;PALLD;MTF2;NUMB;CDH13;MYH9;ITGA6;ITGA5;LCP1;ARHGEF2;ARHGEF7;MAPRE1;ENG;LRP1;SRC;STX16;NEXN;EGFR;ADD1;FLNA;PTK2B;DMD;CLASP1;PDLIM7;MAP4K4;SVIL;NFASC;DLC1;CTNNB1;VIM
GO_Cellular_Component_2021	microtubule (GO:0005874)	51/182	1.309552e-03	5.853697e-02	0	0	1.703852e+00	1.131029e+01	KIF11;KIF17;KIF15;CAPN6;KIF13A;KIF13B;KIF1C;KIF21B;KIF1A;CDK5RAP3;CDK5RAP2;DYNC2H1;CCT3;PARP4;KIF23;KIF7;MID1;KIF6;TUBA4A;KIF27;DNM2;CLIP1;KIF9;FAM161A;KIF2A;KATNAL2;KIFC1;KIF20A;ARHGEF2;KIF20B;MAPRE1;MACF1;DYNC1I2;DCTN1;IQGAP1;NDRG1;CAMSAP1;CLASP1;DYNC1H1;CCDC57;PLK1;FHDC1;LRPPRC;TPX2;CENPE;DLG1;KIF18A;TPPP3;PRC1;KIF26B;RADIL
GO_Cellular_Component_2021	microtubule cytoskeleton (GO:0015630)	84/331	1.465500e-03	5.955259e-02	0	0	1.491031e+00	9.729812e+00	HEPACAM2;KIF11;KIF17;LYST;KIF15;CSPP1;CDC27;KIF13A;TEKT1;KIF13B;TEKT2;AKT1;KIF1C;KIF21B;KIF1A;TEKT5;GTSE1;EMD;NINL;CDK5RAP3;CDK5RAP2;DYNC2H1;CCT3;GAS2L3;DST;MTUS1;ANXA11;KIF23;KIF7;EML1;KIF6;MID1;KIF27;TUBA4A;DNM2;DNM3;KIF9;CLIP1;KIF2A;KATNAL2;KIFC1;PPP1R42;KIF20A;ARHGEF2;KIF20B;MAPRE1;MACF1;DYNC1I2;DCTN1;ZBTB49;TTK;IQGAP1;HMMR;NDRG1;CAMSAP1;NUAK1;RACGAP1;KATNA1;MAP4;FAM83D;CLASP1;DYNC1H1;SPAG6;MX2;PLK1;CBX1;FHDC1;LRPPRC;AGBL5;DNAJA1;TPX2;CENPE;TPPP3;DLG1;FER;KIF18A;TTLL3;FES;PRC1;KIF26B;MMS19;RADIL;TUBGCP3;CDK16
GO_Cellular_Component_2021	calcium channel complex (GO:0034704)	17/45	2.089318e-03	7.782711e-02	0	0	2.649722e+00	1.635121e+01	RYR1;RYR2;TRPC5;CACNA2D1;PDE4D;ATP2A1;CACNA1D;CACNA1C;CACNA1F;PKD1;RYR3;CACNA1G;CACNB2;PDE4B;CACHD1;CACNA1S;MCU
GO_Cellular_Component_2021	ion channel complex (GO:0034702)	14/35	2.728792e-03	9.382846e-02	0	0	2.908407e+00	1.717093e+01	CHRNA1;TRPC7;CHRNA3;GRID2;TRPC5;TRPC6;CHRNA5;PKD1L3;PKD1;BEST1;UNC80;CHRNE;LRRC8D;STXBP5
