Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	tubulin binding (GO:0015631)	95/307	1.325183e-07	1.394092e-04	0	0	1.974922e+00	3.127594e+01	SETD2;MTCL1;LRRK2;DIXDC1;BRCA1;BRCA2;KIF17;KIF15;GOLGA2;MAP1LC3A;CAPN6;OPA1;KIF13A;DAG1;KIF13B;KIF1C;DIP2B;KIF21B;KIF1A;GTSE1;EMD;CDK5RAP2;SUN2;GAS2L3;AGTPBP1;DST;STARD9;MTUS1;DLEC1;KIF23;KIF7;EML1;KIF6;MID1;KIF27;DNM2;DNM3;EML5;CLIP2;EML6;KIF9;CLIP1;KIF2A;FAM161A;NAV3;CEP57L1;KIFC1;EFHC1;PPP1R42;TTLL11;KIF20A;ARHGEF2;KIF20B;ALDOA;ARHGEF7;ARL8A;DCTN1;HTT;NDRG1;CAMSAP1;NCALD;RACGAP1;MAP2;KATNA1;MAP4;FAM83D;CLASP1;MAP4K4;SPAG5;NDE1;MX2;PLK1;RITA1;INO80;FHDC1;LRPPRC;CCDC88B;AGBL5;CCDC88A;TPX2;AGBL4;CENPE;TPPP3;TTLL5;KIF18A;AGBL1;PRC1;KIF26B;TTLL1;CCDC88C;TUBGCP6;TRIM36;TUBGCP3;DNAL1;CCDC61
GO_Molecular_Function_2021	motor activity (GO:0003774)	30/66	5.787327e-07	3.044134e-04	0	0	3.647828e+00	5.239166e+01	DYNC1I2;DNAH1;DNAH2;KIF11;KLC1;KIF17;KIF15;KIF13A;MYO6;KIF13B;KIF1C;KIF1A;KIF21B;DYNC2H1;STARD9;KIF24;KIF23;KIF7;KIF6;KIF27;CENPE;MYO1E;KIF9;KIF18A;KIF2A;KIFC1;KIF26B;MYH9;KIF20A;KIF20B
GO_Molecular_Function_2021	GTPase activator activity (GO:0005096)	99/336	9.349844e-07	3.278679e-04	0	0	1.840133e+00	2.554609e+01	DENND5B;RCBTB2;THG1L;PREX2;DOCK10;SYDE2;PREX1;DOCK11;ARHGAP42;HERC2;OPHN1;TBC1D10C;PLCE1;RGS8;SBF1;SBF2;RGS6;RALGAPA2;GAPVD1;RALGAPB;FRMD7;PREB;RIN2;ARHGEF28;ARHGAP17;IQGAP1;ARHGAP15;RASGRP2;KALRN;ARHGAP22;ARHGAP20;RACGAP1;TBC1D13;STXBP5;ECT2;EVI5;TBC1D16;RAP1GAP2;STARD13;EIF2B3;IQSEC2;DENND4B;DENND4A;DENND4C;ARHGAP29;ARHGAP27;ARHGAP26;CCDC88A;TBCK;ARHGAP31;DNMBP;CCDC88C;NF1;RGL1;RGL2;ARHGAP11A;NRP1;DOCK5;DOCK4;LRRK2;WDR41;ARHGEF10L;SIPA1L3;AKAP13;RASGEF1B;RALGPS1;ARHGEF10;ARAP3;ARHGEF18;ARAP1;GMIP;ARFGAP1;ARHGAP10;TBC1D1;TBC1D2;TBC1D4;RASA4;ALDH1A1;RAPGEF1;ARHGEF2;ARHGEF7;DEPDC5;RAPGEF6;ARHGEF5;RAPGEF3;RAPGEF4;RGS16;ASAP1;DENND3;ASAP2;FGD4;FGD5;FGD6;CYTH4;FARP1;EGF;MYO9B;DLC1;SGSM2
GO_Molecular_Function_2021	guanyl-nucleotide exchange factor activity (GO:0005085)	51/149	4.570918e-06	1.202152e-03	0	0	2.282257e+00	2.806216e+01	DOCK5;DOCK4;DENND5B;WDR41;RCBTB2;THG1L;DOCK10;PREX2;DOCK11;PREX1;AKAP13;HERC2;RASGEF1B;PLCE1;SBF1;SBF2;RALGPS1;ARHGEF10;ARHGEF18;GAPVD1;FRMD7;RAPGEF1;PREB;ARHGEF2;ARHGEF7;RIN2;RAPGEF6;ARHGEF5;RAPGEF3;RAPGEF4;ARHGEF28;DENND3;RASGRP2;KALRN;FGD4;FGD5;CYTH4;FGD6;ECT2;FARP1;EIF2B3;DENND4B;IQSEC2;DENND4A;EGF;DENND4C;CCDC88A;DNMBP;CCDC88C;RGL1;RGL2
GO_Molecular_Function_2021	microtubule motor activity (GO:0003777)	25/56	7.401660e-06	1.557309e-03	0	0	3.526488e+00	4.166124e+01	DYNC1I2;DNAH1;DNAH2;KIF11;KIF17;KIF15;KIF13A;KIF13B;KIF1C;KIF1A;KIF21B;STARD9;KIF24;KIF23;KIF7;KIF6;KIF27;CENPE;KIF9;KIF18A;KIF2A;KIFC1;KIF26B;KIF20A;KIF20B
GO_Molecular_Function_2021	microtubule binding (GO:0008017)	70/232	1.459916e-05	2.559720e-03	0	0	1.897252e+00	2.112504e+01	MTCL1;LRRK2;KIF17;KIF15;GOLGA2;MAP1LC3A;CAPN6;OPA1;KIF13A;KIF13B;KIF1C;KIF21B;KIF1A;GTSE1;CDK5RAP2;SUN2;GAS2L3;DST;STARD9;MTUS1;KIF23;KIF7;EML1;KIF6;MID1;KIF27;DNM2;DNM3;EML5;CLIP2;EML6;KIF9;CLIP1;KIF2A;FAM161A;NAV3;CEP57L1;KIFC1;KIF20A;ARHGEF2;KIF20B;MAPRE1;MACF1;DCTN1;NDRG1;CAMSAP1;RACGAP1;MAP2;KATNA1;MAP4;FAM83D;CLASP1;MAP4K4;SPAG5;NDE1;MX2;PLK1;FHDC1;LRPPRC;CCDC88B;CCDC88A;TPX2;CENPE;KIF18A;PRC1;KIF26B;CCDC88C;TUBGCP6;TUBGCP3;CCDC61
GO_Molecular_Function_2021	actin binding (GO:0003779)	56/177	2.302931e-05	3.159276e-03	0	0	2.029524e+00	2.167276e+01	LRRK2;ARPC1A;FMN2;SYNE2;EPS8;ALKBH4;CAPZB;DAG1;PHACTR1;EMD;PHACTR4;GAS2L3;COBL;PAWR;MYRIP;SPTB;MYL4;MYL3;KCNMA1;TNNT3;MYH9;PPP1R42;TLN2;LCP1;UTRN;ALDOA;VCL;PFN2;MACF1;SPTBN4;HPCA;TWF2;ADD1;NCALD;ABLIM1;CALD1;MICAL1;MYO6;ABL1;ABL2;DMD;PDLIM5;MYH10;PDLIM4;PDLIM7;CAP2;MICAL3;MYO9B;CGN;PARVB;FHDC1;SSH3;ANLN;CCDC88A;KIF18A;FXYD5
GO_Molecular_Function_2021	calcium channel activity (GO:0005262)	32/84	2.402491e-05	3.159276e-03	0	0	2.692578e+00	2.863938e+01	RYR1;RYR2;CATSPER3;SLC24A4;CUL5;CACNA1B;CACNA1A;CACNA1D;PKD2L2;CACNA1C;PKD1L3;CACNA1F;PKD1;CACNA1E;CACNA1I;ITGAV;TRPM7;ANXA9;CACNA1S;TRPM4;TRPC7;TRPC5;TRPC6;ANXA2;CACNA2D1;TRPV2;OPRM1;TPCN2;CACNB2;STIM2;CACHD1;MCU
GO_Molecular_Function_2021	kinase binding (GO:0019900)	120/461	5.267958e-05	6.157658e-03	0	0	1.549088e+00	1.526050e+01	TSKS;ATF2;CCNK;WWC1;GOLGA2;PPP1CC;RPS19;CHEK2;FBXO7;CDK5RAP3;CDK5RAP2;IL15RA;DAXX;PIH1D1;ANK2;VRK2;CDC25C;SRCIN1;TUBA4A;TOM1L1;TOM1L2;DGKQ;SIK1;VDAC1;KIF20A;UTRN;ANKRA2;SKAP1;TELO2;SHC4;SHC1;MAPKAP1;PRKRIP1;IQGAP1;FOXO3;ZBTB4;RHOBTB1;RACGAP1;IRAK1;PDCD10;PLCG2;CEP192;MAP2K7;FAM83D;CNTLN;NEK9;SMAD3;LRBA;NEK6;CAV1;PLK1;NBEAL1;NBEAL2;SNAP91;TPX2;DLG1;TBL2;DLG2;NR4A3;WNK1;DLG4;TRIP6;SPDYA;BCL2L1;HSP90AB1;PRKAG2;ILK;PTPRJ;PTPN23;KIF11;PTPRK;WDR45;LYST;BICD1;PKD1;CKS1B;TTC28;IKBKB;GHR;UFL1;KIF13B;BLNK;DUSP3;PAX6;TEX14;YWHAZ;CIT;CCNA2;IRF5;ARHGEF7;MAPRE1;CRK;LRRC14;BECN1;SRC;DCTN1;MVP;HTT;ADCY6;EGFR;HDAC7;TTN;POLR2A;FLNA;RICTOR;MAPK4;SASH1;SLC12A4;CDKN2C;ERCC6L2;BAD;CEP152;DAB2IP;PTPN11;TPCN2;PER1;PIK3IP1;PRC1;CTNNB1;PTPN6
GO_Molecular_Function_2021	voltage-gated calcium channel activity (GO:0005245)	17/37	1.370488e-04	1.441753e-02	0	0	3.711438e+00	3.301389e+01	RYR1;CATSPER3;CACNA2D1;CACNA1B;CACNA1A;CACNA1D;CACNA1C;OPRM1;CACNA1F;CACNA1E;TPCN2;CACNA1G;CACNA1I;CACNB2;CACHD1;ITGAV;CACNA1S
