Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	721 B lymphoblasts	151/1543	4.566902e-17	3.242501e-15	0	0	2.321329e+00	8.734026e+01	SLC35B3;MTCH2;PDCD6;BCCIP;ATP5C1;HNRNPR;PPP2R2A;ENO1;PSMD8;PROSC;TBK1;SNRPD1;FAM162A;ARHGDIA;PSMD3;STK16;PSMD1;NGDN;UBE2E1;ACOT13;ZCRB1;UTP11L;SDHB;ILF2;CIRH1A;PPA1;TMX1;CLNS1A;CLPP;NCL;PSME1;SNRPG;SNRPE;VDAC1;UQCRC2;PPIA;DUS3L;SNRPB;FAIM;PSMD11;PSMD14;MRPL16;WDR61;MRPL15;GTF2E2;ACAT1;ATP5B;STIP1;LDHA;ZNHIT3;PNPO;NAE1;NDUFV2;NDUFV1;HSPA9;DARS;PDHA1;PAICS;LSM4;MARCH5;EIF2S1;ZC3HC1;AIMP1;CCT6A;SMU1;PPP5C;CDK4;UBE2M;COX7B;MRPS16;GDI2;MRPL39;PSIP1;ETFA;DBI;TRIAP1;PRPF19;HSPB11;MRPL42;MRPL40;HINT2;C1QBP;MFSD3;MLX;EMD;IDH3A;SCYL1;MRPS27;DBNL;STARD3NL;RFC2;PRMT1;AHSA1;ZDHHC13;CACYBP;RABGGTB;ATP5F1;MRPL46;PSMA5;SLC25A17;PSMA1;PSMA2;PEX3;TCP1;NDUFS2;NAA38;GARS;DNAJC8;PFDN6;DCTN5;USP14;CDC123;STOML2;RNF34;TOMM40;TSSC1;GPS1;POMP;SRM;HSPD1;EXOSC7;DNPEP;PSMB2;RBBP4;PSMB1;LEO1;POLR2E;CCT8;CCT7;CCT5;ATAD1;NDUFA9;SF3A3;RANBP1;NPM1;PTGES2;MTX2;WDR18;ADRM1;GINS4;UBE2G1;ATOX1;RSL1D1;EIF3M;PFKL;PSMC3;PSMC4;EIF3I;MARS;SERBP1;DRG2
Human_Gene_Atlas	Heart	49/415	9.752991e-09	3.462312e-07	0	0	2.697692e+00	4.976080e+01	SLC25A3;CUEDC2;NDUFA11;TUSC2;MRPS11;ATP5C1;ATP5G3;PSMD4;PPP2R1A;HCFC1R1;BCKDHA;MRPS18A;NDUFC1;COX6B1;IFI27;NDUFS7;UQCRC1;NDUFS3;FAM96B;AURKAIP1;ALDOA;SLC25A4;SLC25A11;NDUFB9;NDUFB10;NDUFB11;UQCR11;SEPW1;MRPL12;COX5B;COX5A;ATP5B;ASNA1;ATP5D;CYC1;TIMM8B;NDUFA6;PEX19;GOT1;MDH2;IDH3G;NDUFA3;NDUFA2;COQ9;HIGD2A;G6PC3;UQCRQ;MSRB2;ACO2
Human_Gene_Atlas	Wholebrain	32/240	2.387383e-07	5.650140e-06	0	0	3.069908e+00	4.680964e+01	DCTN3;ARHGDIG;ABHD8;CYP46A1;HSPBP1;TFPT;GNG3;CHCHD6;ERI3;HCFC1R1;FSD1;LCMT1;MAP2K5;SYT5;ACOT7;SPRYD3;WSB2;PMM1;ACTL6B;MDH2;DYNLL1;ADAP1;RUNDC3A;RNF41;CDK5;ASPH;TCEA2;ARHGEF4;PIN1;CAMK1;SLC25A4;ARF5
Human_Gene_Atlas	Lymphoma burkitts(Raji)	31/355	1.288008e-03	2.286213e-02	0	0	1.895438e+00	1.261349e+01	TRMU;HIBADH;ATP5C1;ARL2;RPL8;MRPL12;SRM;C1QBP;ATP5D;NT5M;CCT7;NDUFV1;NADK;EIF5A;SLMO2;MAP2K2;PRMT1;MDH2;WDR18;PRMT3;ASNS;GGCT;GRHPR;PPP5C;PFKL;CLPP;SERBP1;VDAC2;UNC119;TKT;RNF187
Human_Gene_Atlas	Thyroid	27/388	4.079696e-02	4.871353e-01	0	0	1.472492e+00	4.710719e+00	ASAH1;MCFD2;TM2D2;ZFAND2B;PEBP1;TXNDC15;HSPB11;HSP90B1;SEP15;PRDX5;PLS3;CTSB;SCYL1;PDIA3;DARS;TMEM184C;HSPA5;ATP6AP2;SDHD;GTF2F1;PDIA6;GNPTG;STK25;PEX3;PPDPF;CALR;EBAG9
Human_Gene_Atlas	FetalThyroid	7/66	4.116637e-02	4.871353e-01	0	0	2.324590e+00	7.415754e+00	RPS4X;RAB7;SNX1;RER1;CALR;COX5B;CTSB
Human_Gene_Atlas	Amygdala	23/345	8.054263e-02	8.169324e-01	0	0	1.403286e+00	3.534834e+00	NDFIP1;YWHAB;RNF14;CPNE6;GDE1;KLC1;ADAP1;PCMT1;TMEFF1;TUBB2A;RCN2;GLRB;PRKAR1A;TCP1;ARHGEF4;ATP6V1H;PIN1;CPE;CCDC92;CNIH2;ATP6V1D;MAP2K5;PACSIN1
Human_Gene_Atlas	CD105+ Endothelial	23/370	1.392913e-01	9.999955e-01	0	0	1.300444e+00	2.563421e+00	RALBP1;PSMD12;MAP2K2;KRR1;PAK1IP1;RPP30;BCCIP;CACYBP;YEATS4;TIMM10;GTF2F1;REXO2;EIF2S1;UCHL5;THOC7;CCT6A;MRPL20;COPS3;COQ2;PPA2;RPA3;DNAJC9;FKBP4
Human_Gene_Atlas	Leukemia chronicMyelogenousK-562	9/124	1.516107e-01	9.999955e-01	0	0	1.532001e+00	2.890027e+00	MCTS1;UFD1L;SF3A3;RANBP1;PSMD5;MARS;UTP11L;COX5B;UQCRH
Human_Gene_Atlas	pineal night	38/674	1.969682e-01	9.999955e-01	0	0	1.172587e+00	1.905117e+00	NAPA;BEX1;NDRG3;UQCRB;TM2D1;PDCD6;ARL3;ROGDI;PTN;ENO2;TSPAN31;DYNC2LI1;LAPTM4B;PCBP3;MAT2A;BAG1;PDE6D;ATP6V1H;TSPAN3;ATP6V0E2;FBXO9;SLC30A9;NDUFA6;SYP;TUBA4A;TMCO1;PIAS1;TMEM59;NSFL1C;PREPL;NECAP1;RCN2;PTPRA;SCG5;SCG3;GNB5;IFT46;CHMP5
